N_Epochs;N_games;memory_size;batch_size;gamma;lr;anneal_lr;epsilon;entropy_coef;value_loss_coef;relevant_segments;done_after_collision;model_arch
4;5000;40;8;0.7;0.00075;True;-1;0.01;0.5;0;True;normal

step;episode;value;action[-10°];action[-5°];action[0°];action[5°];action[10°];reward;collision_status;length_ratio
2;53;-0.82;0.15;0.19;0.22;0.21;0.23;0.08;0;0
1;54;-0.83;0.18;0.2;0.25;0.18;0.2;0.02;0;0
2;54;-0.67;0.16;0.22;0.24;0.19;0.2;0.05;0;0
3;54;-0.68;0.16;0.22;0.33;0.12;0.17;0.02;0;0
1;55;-0.39;0.15;0.2;0.23;0.17;0.25;0.02;0;0
2;55;-0.68;0.16;0.2;0.21;0.18;0.24;0.04;0;0
3;55;-0.69;0.16;0.21;0.2;0.16;0.26;0.09;0;0
4;55;-0.39;0.17;0.24;0.2;0.18;0.21;0.13;0;0
5;55;-0.85;0.17;0.23;0.21;0.19;0.2;0.05;0;0
6;55;-0.81;0.16;0.23;0.21;0.19;0.22;0.12;0;0
7;55;-0.74;0.19;0.2;0.22;0.2;0.19;0.03;0;0
1;56;-1.21;0.16;0.21;0.21;0.15;0.28;0.11;0;0
2;56;-1.59;0.14;0.2;0.2;0.13;0.32;0.1;0;0
3;56;-0.9;0.17;0.2;0.28;0.13;0.22;0.13;0;0
4;56;-1.0;0.16;0.23;0.24;0.12;0.25;0.15;0;0
5;56;-0.77;0.14;0.21;0.21;0.12;0.33;0.17;0;0
6;56;-1.0;0.17;0.28;0.16;0.13;0.26;1;1;0
1;57;-0.79;0.18;0.18;0.29;0.15;0.2;0.02;0;0
2;57;-0.71;0.21;0.16;0.26;0.17;0.19;0.06;0;0
3;57;-0.7;0.17;0.16;0.28;0.16;0.22;0.06;0;0
4;57;-0.85;0.15;0.17;0.24;0.18;0.25;0.02;0;0
5;57;-0.77;0.16;0.18;0.25;0.18;0.23;0.01;0;0
1;58;-1.02;0.12;0.18;0.61;0.03;0.06;0.06;0;0
2;58;-1.02;0.14;0.25;0.43;0.07;0.11;0.08;0;0
3;58;-0.93;0.15;0.23;0.28;0.13;0.21;0.03;0;0
4;58;-0.55;0.15;0.24;0.36;0.11;0.15;1;1;0
1;59;-0.78;0.16;0.2;0.24;0.19;0.21;0.12;0;0
