N_Epochs;N_games;memory_size;batch_size;gamma;lr;anneal_lr;epsilon;entropy_coef;value_loss_coef;relevant_segments;done_after_collision;model_arch
4;5000;40;8;0.7;0.00075;True;-1;0.01;0.5;0;True;normal

step;episode;value;action[-10°];action[-5°];action[0°];action[5°];action[10°];reward;collision_status;length_ratio
2;57;-4.51;0.12;0.31;0.21;0.27;0.09;0.12;0;0
3;57;-4.39;0.11;0.1;0.11;0.58;0.1;0.02;0;0
1;58;-4.15;0.02;0.13;0.08;0.76;0.02;0.05;0;0
2;58;-4.04;0.13;0.19;0.2;0.33;0.14;0.03;0;0
3;58;-4.15;0.12;0.08;0.14;0.52;0.14;0.17;0;0
1;59;-4.03;0.2;0.24;0.13;0.25;0.18;0.01;0;0
2;59;-6.56;0.09;0.26;0.19;0.37;0.08;0.05;0;0
3;59;-5.1;0.1;0.27;0.19;0.36;0.08;0.05;0;0
4;59;-4.01;0.16;0.17;0.14;0.29;0.24;1;1;0
1;60;-4.39;0.16;0.27;0.21;0.26;0.11;0.08;0;0
1;61;-4.3;0.18;0.18;0.26;0.19;0.2;0.08;0;0
2;61;-4.12;0.19;0.18;0.19;0.24;0.2;0.05;0;0
3;61;-4.44;0.18;0.13;0.2;0.26;0.22;0.19;0;0
4;61;-4.41;0.21;0.19;0.18;0.24;0.18;0.15;0;0
5;61;-4.35;0.22;0.25;0.15;0.23;0.15;0.09;0;0
6;61;-4.35;0.23;0.21;0.13;0.26;0.18;0.09;0;0
7;61;-4.31;0.26;0.2;0.16;0.21;0.16;0.04;0;0
1;62;-4.04;0.24;0.3;0.15;0.21;0.11;1;1;0
1;63;-4.41;0.17;0.29;0.23;0.23;0.09;0.09;0;0
2;63;-4.2;0.29;0.26;0.17;0.16;0.12;0.02;0;0
1;64;-4.85;0.18;0.28;0.17;0.22;0.14;0.01;0;0
2;64;-4.91;0.09;0.37;0.26;0.24;0.04;0.02;0;0
3;64;-4.51;0.11;0.35;0.21;0.27;0.06;0.01;0;0
1;65;-4.35;0.24;0.25;0.14;0.25;0.12;0.03;0;0
1;66;-4.12;0.04;0.26;0.26;0.43;0.01;0.17;0;0
2;66;-4.24;0.06;0.32;0.22;0.37;0.02;0.25;0;0
3;66;-4.05;0.32;0.29;0.12;0.18;0.1;1;1;0
1;67;-4.24;0.26;0.31;0.14;0.2;0.1;0.06;0;0
2;67;-4.41;0.25;0.29;0.14;0.2;0.11;0.08;0;0
3;67;-4.01;0.28;0.27;0.16;0.18;0.11;0.06;0;0
4;67;-4.07;0.28;0.27;0.16;0.18;0.11;0.1;0;0
1;68;-4.21;0.18;0.18;0.15;0.36;0.14;0.13;0;0
2;68;-4.64;0.14;0.23;0.2;0.34;0.1;0.05;0;0
3;68;-3.58;0.09;0.28;0.25;0.34;0.04;1;1;0
1;69;-3.07;0.08;0.21;0.25;0.37;0.09;0.1;0;0
2;69;-3.68;0.09;0.18;0.3;0.3;0.13;0.15;0;0
3;69;-3.36;0.12;0.15;0.28;0.24;0.21;0.02;0;0
4;69;-3.34;0.1;0.14;0.17;0.44;0.14;0.22;0;0
5;69;-4.03;0.08;0.25;0.29;0.31;0.08;0.19;0;0
6;69;-4.12;0.05;0.27;0.26;0.38;0.04;1;1;0
1;70;-4.05;0.14;0.26;0.19;0.28;0.14;1;1;0
1;71;-4.38;0.14;0.21;0.28;0.19;0.17;0.05;0;0
2;71;-4.95;0.09;0.22;0.33;0.26;0.1;0.07;0;0
3;71;-4.6;0.12;0.24;0.26;0.26;0.12;0.07;0;0
4;71;-4.48;0.12;0.29;0.27;0.25;0.07;0.02;0;0
5;71;-4.29;0.13;0.32;0.18;0.28;0.09;0.05;0;0
1;72;-9.08;0.21;0.24;0.15;0.21;0.2;0.06;0;0
2;72;-8.45;0.21;0.27;0.16;0.22;0.15;0.04;0;0
3;72;-6.96;0.2;0.25;0.18;0.22;0.15;0.03;0;0
4;72;-5.32;0.13;0.29;0.22;0.29;0.07;0.03;0;0
1;73;-4.07;0.21;0.27;0.17;0.24;0.12;0.06;0;0
2;73;-4.2;0.16;0.29;0.2;0.24;0.11;0.04;0;0
1;74;-4.28;0.13;0.25;0.21;0.31;0.1;0.08;0;0
2;74;-4.19;0.11;0.26;0.21;0.34;0.07;0.02;0;0
1;75;-5.03;0.17;0.24;0.23;0.2;0.16;0.04;0;0
2;75;-4.88;0.15;0.3;0.23;0.23;0.09;0.02;0;0
3;75;-4.36;0.2;0.27;0.2;0.19;0.14;0.05;0;0
1;76;-4.1;0.26;0.22;0.14;0.22;0.15;0.03;0;0
1;77;-4.2;0.11;0.25;0.29;0.19;0.16;0.11;0;0
2;77;-4.08;0.14;0.25;0.24;0.21;0.16;0.05;0;0
3;77;-4.1;0.1;0.3;0.21;0.31;0.08;0.05;0;0
4;77;-4.26;0.09;0.2;0.19;0.41;0.11;0.14;0;0
1;78;-3.62;0.14;0.28;0.19;0.3;0.09;0.07;0;0
1;79;-4.57;0.09;0.25;0.27;0.3;0.08;0.05;0;0
2;79;-4.86;0.08;0.23;0.32;0.29;0.07;0.02;0;0
3;79;-4.67;0.1;0.25;0.28;0.29;0.08;0.01;0;0
4;79;-4.74;0.13;0.32;0.25;0.23;0.07;0.08;0;0
1;80;-3.79;0.17;0.28;0.18;0.27;0.1;0.05;0;0
2;80;-4.01;0.1;0.27;0.19;0.38;0.07;0.02;0;0
3;80;-3.42;0.2;0.17;0.15;0.2;0.28;0.25;0;0
4;80;-3.59;0.1;0.3;0.19;0.36;0.05;0.14;0;0
5;80;-3.28;0.12;0.32;0.15;0.36;0.05;0.22;0;0
6;80;-3.99;0.14;0.37;0.15;0.29;0.05;0.16;0;0
7;80;-3.44;0.1;0.45;0.15;0.26;0.03;1;1;0
1;81;-0.89;0.04;0.02;0.45;0.09;0.4;0.05;0;0
