N_Epochs;N_games;memory_size;batch_size;gamma;lr;anneal_lr;epsilon;entropy_coef;value_loss_coef;relevant_segments;done_after_collision;model_arch
4;20000;40;8;0.7;0.00075;True;-1;0.01;0.5;0;True;normal

step;episode;value;action[-10°];action[-5°];action[0°];action[5°];action[10°];reward;collision_status;length_ratio
1;62;-0.54;0.18;0.25;0.17;0.22;0.18;0.01;0;0
2;62;-0.85;0.18;0.24;0.16;0.23;0.19;0.01;0;0
3;62;-0.93;0.19;0.24;0.15;0.24;0.19;0.01;0;0
1;63;0.14;0.32;0.15;0.18;0.2;0.14;0.05;0;0
2;63;-0.27;0.28;0.16;0.2;0.21;0.15;0.04;0;0
3;63;-0.71;0.2;0.18;0.19;0.25;0.17;0.03;0;0
4;63;-0.57;0.25;0.18;0.19;0.21;0.17;0.02;0;0
5;63;-1.09;0.21;0.21;0.18;0.24;0.17;0.01;0;0
1;64;-0.78;0.22;0.21;0.18;0.21;0.19;0.03;0;0
2;64;-1.34;0.22;0.21;0.16;0.22;0.19;0.02;0;0
3;64;-1.15;0.21;0.22;0.16;0.22;0.2;0.02;0;0
1;65;-0.59;0.21;0.19;0.18;0.23;0.19;0.06;0;0
2;65;-0.58;0.25;0.18;0.19;0.2;0.18;1;1;0
1;66;-1.9;0.19;0.21;0.15;0.25;0.2;0.07;0;0
2;66;-1.83;0.2;0.2;0.16;0.23;0.21;0.07;0;0
3;66;-1.99;0.29;0.16;0.19;0.18;0.17;0.04;0;0
4;66;-1.97;0.24;0.18;0.16;0.19;0.22;1;1;0
1;67;-1.22;0.22;0.18;0.18;0.21;0.2;0.03;0;0
1;68;-1.04;0.15;0.25;0.17;0.22;0.21;0.01;0;0
2;68;-1.28;0.14;0.26;0.17;0.21;0.22;0.01;0;0
3;68;-1.86;0.18;0.23;0.16;0.22;0.21;0.02;0;0
4;68;-0.99;0.19;0.19;0.16;0.26;0.2;0.02;0;0
5;68;-1.12;0.18;0.18;0.17;0.25;0.21;0.03;0;0
6;68;-0.73;0.24;0.2;0.15;0.23;0.19;1;1;0
1;69;-1.37;0.25;0.16;0.27;0.17;0.15;0.03;0;0
2;69;-1.14;0.24;0.17;0.26;0.18;0.16;0.05;0;0
3;69;-1.49;0.24;0.16;0.27;0.18;0.14;0.06;0;0
4;69;-1.26;0.22;0.18;0.24;0.19;0.17;0.02;0;0
5;69;-1.61;0.23;0.18;0.21;0.22;0.16;0.01;0;0
6;69;-1.48;0.21;0.21;0.18;0.21;0.18;0.01;0;0
7;69;-1.67;0.21;0.2;0.18;0.21;0.2;0.01;0;0
1;70;-0.89;0.21;0.19;0.19;0.22;0.19;0.02;0;0
2;70;-0.8;0.24;0.19;0.19;0.19;0.19;0.02;0;0
1;71;-9.05;0.12;0.16;0.09;0.39;0.24;0.04;0;0
2;71;-2.75;0.15;0.21;0.09;0.32;0.23;0.05;0;0
3;71;-3.76;0.14;0.2;0.09;0.34;0.22;0.06;0;0
4;71;-3.54;0.15;0.23;0.11;0.25;0.26;1;1;0
1;72;-0.59;0.2;0.19;0.22;0.22;0.17;0.02;0;0
2;72;-0.68;0.2;0.18;0.21;0.25;0.16;0.02;0;0
3;72;-0.63;0.21;0.19;0.21;0.25;0.15;0.01;0;0
4;72;-0.91;0.22;0.2;0.2;0.19;0.19;0.01;0;0
5;72;-0.97;0.21;0.19;0.19;0.22;0.19;0.01;0;0
6;72;-0.95;0.22;0.19;0.18;0.22;0.19;0.02;0;0
7;72;-1.48;0.21;0.2;0.2;0.2;0.19;0.02;0;0
8;72;-1.23;0.21;0.21;0.19;0.21;0.19;0.04;0;0
1;73;-0.56;0.28;0.19;0.18;0.22;0.13;0.04;0;0
2;73;-0.73;0.27;0.18;0.19;0.23;0.13;0.06;0;0
3;73;-1.11;0.26;0.2;0.16;0.25;0.13;0.05;0;0
4;73;0.16;0.29;0.2;0.16;0.22;0.13;0.03;0;0
5;73;-0.51;0.25;0.2;0.16;0.22;0.16;0.03;0;0
6;73;-0.88;0.23;0.21;0.18;0.19;0.19;0.03;0;0
7;73;-0.8;0.25;0.22;0.15;0.19;0.18;1;1;0
1;74;-1.21;0.22;0.27;0.19;0.19;0.12;0.03;0;0
2;74;-1.18;0.22;0.19;0.2;0.23;0.16;0.03;0;0
3;74;-1.46;0.21;0.2;0.17;0.22;0.19;0.03;0;0
4;74;-1.13;0.23;0.22;0.17;0.2;0.18;0.03;0;0
1;75;-1.06;0.12;0.28;0.17;0.2;0.23;0.01;0;0
2;75;-1.05;0.11;0.29;0.17;0.19;0.24;0.01;0;0
3;75;-1.63;0.18;0.22;0.18;0.2;0.22;0.02;0;0
4;75;-0.73;0.19;0.19;0.17;0.24;0.21;0.02;0;0
5;75;-0.93;0.18;0.18;0.19;0.23;0.23;0.03;0;0
6;75;-0.58;0.26;0.19;0.16;0.21;0.19;1;1;0
1;76;-1.43;0.24;0.19;0.2;0.2;0.18;0.05;0;0
2;76;-0.62;0.24;0.19;0.2;0.21;0.16;0.03;0;0
